MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,File Internal Path
991011502114104641,grinnell:108p; grinnell:108,Deleted,,No,72/FE/63/49/A0/1B/00/5F/70/72/E1/49/B6/06/E3/45/grinnell_10425_OBJ.pdf
991011502114104641,grinnell:108p; grinnell:108,Deleted,,No,CC/6B/CE/13/D6/0D/98/16/29/74/53/9C/C3/C5/56/1D/grinnell_10424_OBJ.pdf
991011502114204641,grinnell:106p; grinnell:106,Deleted,,No,BE/49/FE/7B/29/8E/5E/53/D6/34/D0/CC/4B/0D/5E/A9/grinnell_10362_OBJ.pdf
991011502114204641,grinnell:106p; grinnell:106,Deleted,,No,DC/EC/58/AD/5F/90/81/91/07/0A/92/DA/DC/36/95/E4/grinnell_10361_OBJ.pdf
991011502114304641,grinnell:10450p; grinnell:10450,Deleted,,No,ED/E1/E9/E0/F3/C0/72/2B/5A/22/B2/44/12/8A/51/14/grinnell_10451_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,19/13/4D/07/EE/AE/5A/87/77/ED/F2/9B/F2/05/17/59/grinnell_10774_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,2D/9B/61/BA/D2/E8/D2/5B/B6/87/CF/B9/65/98/4F/4D/grinnell_10770_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,40/AF/15/84/E8/42/17/85/0C/A8/00/3B/43/84/98/D8/grinnell_10760_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,54/82/12/D0/8D/D6/59/3F/EB/D0/EF/C1/14/ED/D3/0E/grinnell_10766_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,5E/3A/CC/39/58/7C/9A/E2/CD/FB/63/0F/28/26/D1/54/grinnell_10768_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,5F/56/BF/98/B0/AF/8C/4B/5F/2A/BC/A0/9E/21/BC/F5/grinnell_10764_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,7E/23/23/3E/1D/50/D0/71/7F/53/C2/F0/94/49/01/FD/grinnell_10773_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,8C/AF/87/D4/19/D9/8A/1D/AB/79/48/32/08/3F/67/D4/grinnell_10763_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,8D/EE/DF/E0/03/62/81/02/84/9C/35/26/10/6E/68/D2/grinnell_10762_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,B8/D6/3D/1F/DA/BA/D7/3F/AB/97/71/68/E8/33/AA/3F/grinnell_10769_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,C3/4B/31/DA/57/EC/8A/8C/5D/41/71/E9/5F/37/A4/B5/grinnell_10771_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,C9/D5/99/7C/0C/A8/36/1A/A7/30/DC/F9/8D/EE/8C/0E/grinnell_10765_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,CD/94/10/78/59/C6/ED/A9/9F/31/7A/F1/8D/3D/C6/57/grinnell_10772_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,DF/6A/BE/D0/84/5D/E6/80/F9/B6/0B/0D/A7/1A/B3/65/grinnell_10767_OBJ.pdf
991011502302704641,grinnell:224,Deleted,,No,E0/E1/D0/62/EB/89/29/81/3C/58/7F/18/90/61/CC/1A/grinnell_10761_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,00/EA/5B/C7/F6/24/15/65/64/E5/52/82/C5/0E/4D/E7/grinnell_10433_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,19/A5/27/36/2A/92/BF/06/7D/25/50/1F/A0/B1/79/57/grinnell_10430_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,28/8A/E0/D1/A2/7D/2B/24/2E/F2/EE/4E/C2/EB/61/CD/grinnell_10435_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,70/AA/F5/24/2A/1F/D3/A0/BB/DF/AA/99/E7/1E/92/BB/grinnell_10436_OBJ.jar
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,8D/EA/9C/FB/D1/8D/5D/40/50/8E/F6/A0/6D/13/77/F9/grinnell_10437_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,97/71/9F/1A/4C/24/EC/A1/7E/20/00/24/02/C9/89/B2/grinnell_10434_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,C0/B7/61/BC/8F/57/24/04/A6/9D/02/F5/EE/5A/7B/51/grinnell_10429_OBJ.gz
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,DF/5A/49/B6/42/1E/8D/E5/70/9E/D1/AD/3A/7A/D1/C2/grinnell_10427_OBJ.pdf
991011502302804641,grinnell:10426p; grinnell:10426,Deleted,,No,E0/44/82/A2/AD/D3/21/73/F1/E4/D8/3E/84/93/A3/5D/grinnell_10428_OBJ.bin
