originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1742929948,"Commencement, 2009, Photograph 1 ",,"Commencement, 2009",,,,image,,IMG_6308.jpg,1742929948,,Cory Hall,,,Commencement ,,"Students at Commencement. Left to right: Helen Bailey, Tiffany Au, Dave Arsenault.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930508,"Commencement, 2009, Photograph 2 ",,"Commencement, 2009",,,,image,,IMG_6311.jpg,1742930508,,Cory Hall,,,Commencement ,,"Students at Commencement. Front row left to right: Patrick Caldwell, unknown, Will Flagle, Greg Hudson. ",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930909,"Commencement, 2009, Photograph 3 ",,"Commencement, 2009",,,,image,,IMG_6603.jpg,1742930909,,Cory Hall,,,Commencement ,,"Sonja Broomes, class of 2009, at Commencement. ",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930912,"Commencement, 2009, Photograph 4 ",,"Commencement, 2009",,,,image,,IMG_6621.jpg,1742930912,,Cory Hall,,,Commencement ,,"Crowd standing at Commencement, class of 2009. Front row: Noga Ashkenazi, unknown, unknown, Kathryn Benson, Julie B, Sonja Broomes, Unknown, Diana Brown.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930917,"Commencement, 2009, Photograph 5 ",,"Commencement, 2009",,,,image,,IMG_6634.jpg,1742930917,,Cory Hall,,,Commencement ,,"Crowd standing at Commencement, class of 2009. Front row: 2nd from left Sabrina, 3rd from left Katherine Benson, 4th Julie B. 1st from right Sonja Broomes.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930919,"Commencement, 2009, Photograph 6 ",,"Commencement, 2009",,,,image,,IMG_6663.jpg,1742930919,,Cory Hall,,,Commencement ,,"Noga Ashkenazi holds a diploma at Commencement, 2009.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930922,"Commencement, 2009, Photograph 7 ",,"Commencement, 2009",,,,image,,IMG_6677.jpg,1742930922,,Cory Hall,,,Commencement ,,"Student at commencement, Parker Koester",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930922,"Commencement, 2009, Photograph 8 ",,"Commencement, 2009",,,,image,,IMG_6681.jpg,1742930922,,Cory Hall,,,Commencement ,,"Brian Perbix (Class of 2009), at the 2009 Commencement.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930787,"Commencement, 2009, Photograph 9",,"Commencement, 2009",,,,image,,IMG_6685.jpg,1742930787,,Cory Hall,,,Commencement ,,"Brian Perbix (Class of 2009), at the 2009 Commencement.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930795,"Commencement, 2009, Photograph 10",,"Commencement, 2009",,,,image,,IMG_6694.jpg,1742930795,,Cory Hall,,,Commencement ,,,Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930801,"Commencement, 2009, Photograph 11",,"Commencement, 2009",,,,image,,IMG_6695.jpg,1742930801,,Cory Hall,,,Commencement ,,"Henry Reich (Class of 2009), at the 2009 Commencement.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930808,"Commencement, 2009, Photograph 12",,"Commencement, 2009",,,,image,,IMG_6709.jpg,1742930808,,Cory Hall,,,Commencement ,,"Brian Perbix (Class of 2009), at the 2009 Commencement.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1742930814,"Commencement, 2009, Photograph 13",,"Commencement, 2009",,,,image,,IMG_6716.jpg,1742930814,,Cory Hall,,,Commencement ,,"Henry Reich (Class of 2009), at the 2009 Commencement.",Office of Communications,,,,,2009-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
