originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
grinnell:19965,"Students and New Sign, 2004",,,,,,image,991011588278504641,,grinnell:19965,,,,,Students | Campus,,Students pose next to the new Grinnell College sign. The two students on the far left might be members of the class of 2008.,Office of Communications,,,,2004,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20169,College Choir,,,,,,image,991011588532104641,,grinnell:20169,,,,,Students | Music | Choir,,"Top row/left to right: unknown, Paul Legen, Dun Ehulich '14, Professor Ramsey, Aaron Barker, and unknown. Second row/left to right: Erik Jarvis, Max Herzberg , unknown, Phil Sletten, Sam '11 [unknown last name] Third row/left to right: Laura Lockwood , unknown, Mark Mercier '11, unknown, and Anne Damtoft '12?. Fourth row/left to right: unknown, Ben Tape, Desaun Peters, Tayler Chicoihe, unknown. Fifth row/left to right: Kathleen Murphy Geiss, Kayle [last name unknown], Katie In, unknown, and Deborah Burice. Sixth row/left to right:Kathryn Walder '12, Ayla '13 [last name unknown], Becca Pred-Sosa, Sarah Goff, Iris Youhg '13, unknown. Bottom row/left to right: Miltan Garcia, unknown, unknown, Jackie Ernst, Sophie Fajardo '12, and Joe Veneziano of the College Choir.",Office of Communications,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20170,"Commencement, 2010, Photograph 1 ",,"Commencement, 2010",,,,image,991011588531804641,,grinnell:20170,,,,,Commencement | Graduation | Students,,Students posing for a photograph at the 2010 Commencement. Lyda Robb (Right).,Office of Communications,,,,,2010-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20171,"Commencement, 2010, Photograph 2",,"Commencement, 2010",,,,image,991011588531104641,,grinnell:20171,,,,,Commencement | Graduation | Students,,Two students posing for a photo at the 2010 Commencement.,Office of Communications,,,,,2010-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20173,"Commencement, 2010, Photograph 4",,"Commencement, 2010",,,,image,991011588529804641,,grinnell:20173,,,,,Commencement | Graduation | Students,,"Three students pose for a photo at the 2010 Commencement. Left to right: Curtis McCoy, Mike Dyle, Unknown.",Office of Communications,,,,,2010-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20175,"GC Sustainability Class, 2010, Photograph 2",,,,,,image,991011588528604641,,grinnell:20175,,,,,Academics | Classroom | Sustainability,,Grinnell College Sustainability Class in 2010. Taught by Professor Jon Andelson. Maddie Hart-Anderson (Left).,Office of Communications,,,,2010,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20181,"Theatre 2009-2010, Photograph 1 ",,,,,,image,991011588524704641,,grinnell:20181,,,,,Students | Theatre,,Students performing in a play about Galileo. Eamon Anderson (left) and Ben Finkelstein (Right).,Office of Communications,,,,2009-2010,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:23576,"Commencement, 2008, Photograph 5",,,,,,image,991011588521304641,,grinnell:23576,,,,,Commencement,,Andrew Polta at the 2008 Commencement. ,Office of Communications,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:26855,Noyce Building Dedication,,,,,,image,991011588486104641,,grinnell:26855,,Fandel?,,,Noyce Science Center | Students,,Students perform at dedication of Noyce Science Center.,Office of Communications,,,,2008,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:26866,"Students on Campus, Photograph 2",,,,,,image,991011588485204641,,grinnell:26866,,,,,Student Life | Campus,,Students walking on campus on a snowy day.,Office of Communications,,,,2008,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29688,"Medallion Ceremony, 2007, Photograph 1 ",,,,,,image,991011588497404641,,grinnell:29688,,Sarah Delong,,,New Student Days | Medallion Ceremony,,"The 2007 Medallion Ceremony. Left to right: Yoji Konno, class of 2009 ; Unknown; Kim Gilbert (Library Assistant), class of 1982.",Office of Communications,,,,2007,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34431,Grinnell College Basketball Teams,,,,,,image,991011589540004641,,grinnell:34431,,,,,Athletics | Basketball | The Bear,,"Men's and women's basketball teams in the Bear Athletic Center. Second to left in the front row is Jack Taylor, class of 2013.",Office of Communications,,,,2011,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34445,"Women's Softball Team, 2011",,,,,,image,991011589538704641,,grinnell:34445,,,,,Athletics | Softball,,"Women's Softball team posing with their coach. Front row, left to right: Christina Colver '13, Jessica Menary '13.",Office of Communications,,,,2011,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34536,"Holi Celebration, 2008, Photograph 4",,,,,,image,991011589525904641,,grinnell:34536,,,,,Campus | Holidays | Holi | Student Life,,Three students celebrate Holi. Mrinalini Watsa on the left.,Office of Communications,,,,2008,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35172,"Challah Workshop, 2009, Photograph 1 ",,,,,,image,991011589633804641,,grinnell:35172,,,,,Chalutzim | Student Groups | Jewish | Student Life,,"Challah bread making workshop. Left to right: Kate Randall, class of 2008; unknown; Sophie; Vicki Foss, class of 2008.",Office of Communications,,,,2009,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35176,"Students, Photograph 2",,,,,,image,991011589632104641,,grinnell:35176,,,,,Students | Student Life,,"A group of students pose for a photo. Left to right: Ebony Jacobs, class of 2009; Daria Slick (Staff), Tiffany Au.",Office of Communications,,,,2009,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35194,Chinese Opera,,,,,,image,991011589624404641,,grinnell:35194,,,,,Students | Opera | Theatre,,Students with makeup done for the Chinese Opera. Ben Finkelstein (top left).,Office of Communications,,,,2008,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35195,"Holi Celebration, 2012 [008]",,,,,,image,991011589623904641,grinnell35195.jpg,grinnell:35195,,,,,Student Life | Holi | Holidays,,"Students celebrate Holi. The student being held up by the others is Harpreet Singh, class of 2012.",Office of Communications,,,,2012,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
